bar_type,n_bars,weekly_count_CoV,autocorr_lag1,skew,excess_kurtosis,jarque_bera,monthly_var_CoV
time,58886,0.06121894128296422,-0.010421379432922397,-0.613619501946215,45.28740581806729,5035014.7827897845,0.3115336011197087
tick,58895,0.33119401812610455,0.002834838797481791,0.3402922290468682,27.659261498097624,1878181.096014586,0.25713681145157613
volume,58888,0.3379539006262582,-0.0008282638796204715,0.3890900798217911,35.987916689535254,3178763.6354978373,0.29747377663766533
dollar,58882,0.32639808549939126,0.002219156585584179,-0.09419775346268851,32.01525345487083,2514354.3051242284,0.2914813928985638
